Name,CDS Ticker,PX_ASK,PX_MID,PX_BID,Price Eqty Ticker,Eqty Price,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
21st Century Fox America Inc,CNCP1U5 CBIN Curncy,32.218,29.79745,27.37689,FOXA US Equity,50.44,3.2,5.3,9.3,14.5,19.7,30.4,38.2,45.1
Allstate Corp/The,CALL1U5 CBIN Curncy,32.10185,29.41297,26.72408,ALL US Equity,94.07,8.7,13.0,22.0,43.7,69.9,109.0,141.7,170.3
Apache Corp,CAPA1U5 CBIN Curncy,132.8265,127.8265,122.8265,APA US Equity,33.0,9.7,15.9,24.0,33.6,44.0,54.0,72.5,87.9
AT&T Inc,CSBC1U5 CBIN Curncy,98.18737,95.54818,92.909,T US Equity,30.419,5.0,6.7,9.8,15.2,20.0,27.5,39.4,48.7
Block Financial LLC,CHRB1U5 CBIN Curncy,108.3073,102.5799,96.85262,HRB US Equity,24.07,8.6,13.1,22.0,44.6,69.8,106.0,140.1,158.9
Carnival Corp,CCCL1U5 CBIN Curncy,51.71049,49.20801,46.70553,CCL US Equity,58.24,9.2,10.3,18.0,26.5,38.4,49.0,77.1,90.9
Comcast Corp,CT363688 CBIN Curncy,46.48309,43.89484,41.30658,CMCSA US Equity,37.8226,4.5,8.8,16.0,22.6,32.5,46.3,68.0,82.7
HP Inc,CHWP1U5 CBIN Curncy,53.44293,50.86313,48.28332,HPQ US Equity,23.23,6.1,9.4,18.0,30.8,44.7,65.5,87.8,108.5
MetLife Inc,CMET1U5 CBIN Curncy,72.10919,69.5786,67.048,MET US Equity,44.705,6.9,10.9,22.0,34.5,49.3,66.3,100.3,119.1
Xerox Corp,CXRX1U5 CBIN Curncy,220.357,210.943,201.529,XRX US Equity,30.59,24.7,32.1,53.0,89.5,128.3,221.0,307.9,343.6
